1	0	0	0
2	27	26	1
3	42	35	7
4	58	44	14
5	68	47	21
6	77	48	29
7	83	49	34
8	87	49	38
10	85	46	39
11	90	41	49
12	85	37	48
13	83	35	48
14	80	33	47
16	72	34	38
17	79	35	44
18	76	36	40
19	79	38	41
20	81	39	42
22	73	36	37
23	69	36	33
24	75	38	37
25	76	39	37
26	84	42	42
28	83	42	41
29	87	44	43
30	86	43	43
31	85	42	43
32	83	41	42
34	80	41	39
35	81	42	39
36	80	44	36
37	89	49	40
38	98	50	48
40	93	49	44
41	97	52	45
42	98	51	47
43	97	48	49
44	99	48	51
46	99	46	53
47	97	45	52
48	93	43	50
49	93	41	52
50	90	41	49
52	92	41	51
53	90	41	49
54	92	43	49
55	96	44	52
56	95	44	51
58	90	44	46
59	88	44	44
100	86	43	43
101	84	43	41
