1	0	0	0
2	58	52	6
3	73	65	8
5	85	75	10
6	98	86	12
7	100	88	12
8	112	97	15
9	126	106	20
11	129	107	22
12	112	90	22
13	114	92	22
14	125	100	25
15	133	105	28
17	124	96	28
18	122	89	33
19	139	98	41
20	144	99	45
22	149	101	48
23	157	104	53
24	161	105	56
25	153	100	53
26	152	102	50
28	149	96	53
29	148	93	55
30	151	93	58
31	151	96	55
32	157	101	56
34	151	99	52
35	144	96	48
36	140	93	47
37	137	91	46
39	126	82	44
40	88	62	26
41	117	77	40
42	113	73	40
43	114	74	40
45	103	66	37
46	98	64	34
47	94	62	32
48	99	66	33
49	97	64	33
51	88	60	28
52	90	60	30
53	91	61	30
54	92	59	33
56	76	48	28
57	87	55	32
58	80	49	31
